prefix 3p6.
#level  configuration       term     J       g        stage        eV 
0       4s2                 1S       0       1        1        0.0
1       4s.4p               3P       0       1        1        1.8793402
2       4s.4p               3P       1       3        1        1.8858075
3       4s.4p               3P       2       5        1        1.8989349
4       4s.3d               3D       1       3        1        2.5212633
5       4s.3d               3D       2       5        1        2.5229867
6       4s.3d               3D       3       7        1        2.5256821
7       4s.3d               1D       2       5        1        2.7090094
8       4s.4p               1P       1       3        1        2.9325120
9       4s.5s               3S       1       3        1        3.9103990
10      4s.5s               1S       0       1        1        4.1308143
11      3d.4p               3F       2+3+4   21       1        4.4409544
12      3d.4p               1D       2       5        1        4.4430250
13      4s.5p               3P       0+1+2   9        1        4.5322113
14      4s.5p               1P       1       3        1        4.5541398
15      4s.4d               1D       2       5        1        4.6243982
16      4s.4d               3D       1       3        1        4.6801799
17      4s.4d               3D       2       5        1        4.6806350
18      4s.4d               3D       3       7        1        4.6813270
19      4s                  2S       1/2     2        2        0.000000+6.11315547
20      3d                  2D       3/2     4        2        1.692408+6.11315547
21      2d                  2D       5/2     6        2        1.699932+6.11315547
22      4p                  2P       1/2     2        2        3.123349+6.11315547
23      4p                  2P       3/2     4        2        3.150984+6.11315547
24      5s                  2S       1/2     2        2        6.467875+6.11315547
25      4d                  2D       3/2     4        2        7.047169+6.11315547
26      4d                  2D       5/2     6        2        7.049551+6.11315547
27      5p                  2P       1/2     2        2        7.505138+6.11315547
28      5p                  2P       3/2     4        2        7.514841+6.11315547
29      4f                  2F       7/2     8        2        8.437981+6.11315547
30      4f                  2F       5/2     6        2        8.437981+6.11315547
31      6s                  2S       1/2     2        2        8.762908+6.11315547
32      5d                  2D       3/2     4        2        9.016407+6.11315547
33      5d                  2D       5/2     6        2        9.017486+6.11315547
34      6p                  2P       1/2     2        2        9.234953+6.11315547
35      6p                  2P       3/2     4        2        9.239519+6.11315547
36      5f                  2F       5/2     6        2        9.675031+6.11315547
37      5f                  2F       7/2     8        2        9.675031+6.11315547
38      7s                  2S       1/2     2        2        9.850331+6.11315547
39      6d                  2D       3/2     4        2        9.983397+6.11315547
40      6d                  2D       5/2     6        2        9.983971+6.11315547
41      6f                  2F       5/2     6        2        10.347483+6.11315547
42      6f                  2F       7/2     8        2        10.347483+6.11315547
43      8s                  2S       1/2     2        2        10.451978+6.11315547
44      -                   -        -       1        3        11.871719+6.11315547

