prefix -
#level  configuration       term     J       g        stage        eV 
0       1s2                 1S       0       1        1        0.0
1       1s.2s               3S       1       3        1        19.81961484203
2       1s.2s               1S       0       1        1        20.6157751334
3       1s.2p               3P       2       5        1        20.96408720675
4       1s.2p               3P       1       3        1        20.96409668230
5       1s.2p               3P       0       1        1        20.96421916817
6       1s.2p               1P       1       3        1        21.2180230218
7       1s.3s               3S       1       3        1        22.718466742
8       1s.3s               1S       0       1        1        22.920317682
9       1s.3p               3P       2+1+0   9        1        23.0070784066
10      1s.3d               3D       3       7        1        23.07365102990
11      1s.3d               3D       2       5        1        23.07365134140
12      1s.3d               3D       1       3        1        23.07365682165
13      1s.3d               1D       2       5        1        23.07407511941
14      1s.3p               1P       1       3        1        23.0870188528
15      1s.4s               3S       1       3        1        23.593959036
16      1s.4s               1S       0       1        1        23.6735709133
17      1s.4p               3P       2+1+0   9        1        23.70789356666
18      1s.4d               3D       3+2+1   15       1        23.73609105116533
19      1s.4d               1D       2       5        1        23.73633535786
20      1s                  2S       1/2     2        2        24.587389011
21      2s                  2S       1/2     2        2        65.4004779393
22      2p                  2P       1/2+3/2 6        2        65.40090399746666
23      3s                  2S       1/2     2        2        72.9587037302
24      3p                  2P       1/2+3/2 6        2        72.95882987506334
25      3d                  2D       3/2+5/2 10       2        72.9589442741412
26      -                   -        -       1        3        79.005154497

