# Left  : frequency difference from central frequency [Hz]
# Right : intensity, [erg/cm^2/s/Hz/sr]
# Central Wavelength : 3968.47 [A]
0.00E+00        3.50E-07
4.76E+09        3.58E-07
9.51E+09        3.82E-07
1.43E+10        4.13E-07
1.90E+10        4.51E-07
2.38E+10        4.94E-07
2.85E+10        5.26E-07
3.33E+10        5.49E-07
3.81E+10        5.65E-07
4.28E+10        5.77E-07
4.76E+10        5.83E-07
5.23E+10        5.93E-07
5.71E+10        6.05E-07
6.18E+10        6.19E-07
6.66E+10        6.34E-07
7.13E+10        6.49E-07
7.61E+10        6.64E-07
8.09E+10        6.82E-07
8.56E+10        6.98E-07
9.04E+10        7.14E-07
9.51E+10        7.28E-07
9.99E+10        7.44E-07
1.05E+11        7.58E-07
1.09E+11        7.74E-07
1.14E+11        7.94E-07
1.52E+11        9.15E-07
1.90E+11        1.05E-06
2.28E+11        1.14E-06
2.66E+11        1.21E-06
3.04E+11        1.32E-06
3.42E+11        1.43E-06
3.81E+11        1.55E-06
4.19E+11        1.67E-06
4.57E+11        1.80E-06
4.95E+11        1.92E-06
5.33E+11        2.05E-06
5.71E+11        2.17E-06
6.09E+11        2.32E-06
6.47E+11        2.49E-06
6.85E+11        2.66E-06
7.23E+11        2.79E-06
7.61E+11        2.90E-06
7.99E+11        3.03E-06
