# Left  : frequency difference from central frequency [Hz]
# Right : intensity, [erg/cm^2/s/Hz/sr]
# Central Wavelength : 3933.65 [A]
0.00E+00        3.57E-07
4.84E+09        3.62E-07
9.68E+09        3.80E-07
1.45E+10        4.07E-07
1.94E+10        4.39E-07
2.42E+10        4.72E-07
2.90E+10        4.98E-07
3.39E+10        5.16E-07
3.87E+10        5.25E-07
4.36E+10        5.25E-07
4.84E+10        5.22E-07
5.32E+10        5.21E-07
5.81E+10        5.21E-07
6.29E+10        5.24E-07
6.78E+10        5.28E-07
7.26E+10        5.37E-07
7.75E+10        5.48E-07
8.23E+10        5.61E-07
8.71E+10        5.74E-07
9.20E+10        5.86E-07
9.68E+10        6.00E-07
1.02E+11        6.18E-07
1.06E+11        6.29E-07
1.11E+11        6.42E-07
1.16E+11        6.54E-07
1.55E+11        7.50E-07
1.94E+11        8.14E-07
2.32E+11        8.76E-07
2.71E+11        9.50E-07
3.10E+11        1.01E-06
3.49E+11        1.05E-06
3.87E+11        1.13E-06
4.26E+11        1.24E-06
4.65E+11        1.33E-06
5.03E+11        1.43E-06
5.42E+11        1.52E-06
5.81E+11        1.60E-06
6.20E+11        1.68E-06
6.58E+11        1.74E-06
6.97E+11        1.81E-06
7.36E+11        1.89E-06
7.75E+11        1.98E-06
8.13E+11        2.05E-06
