# Left  : frequency difference from central frequency [Hz]
# Right : intensity, [erg/cm^2/s/Hz/sr]
# Central Wavelength : 8661.98 [A]
0.00E+00        2.66E-06
7.99E+08        2.69E-06
1.60E+09        2.72E-06
2.40E+09        2.82E-06
3.19E+09        2.97E-06
3.99E+09        3.13E-06
4.79E+09        3.33E-06
5.59E+09        3.61E-06
6.39E+09        3.95E-06
7.19E+09        4.25E-06
7.99E+09        4.59E-06
8.79E+09        5.02E-06
9.58E+09        5.44E-06
1.04E+10        5.94E-06
1.12E+10        6.36E-06
1.20E+10        6.75E-06
1.28E+10        7.05E-06
1.36E+10        7.32E-06
1.44E+10        7.55E-06
1.52E+10        7.73E-06
1.60E+10        7.90E-06
1.68E+10        8.06E-06
1.76E+10        8.17E-06
1.84E+10        8.28E-06
1.92E+10        8.38E-06
2.08E+10        8.56E-06
2.24E+10        8.73E-06
2.40E+10        8.87E-06
2.56E+10        9.02E-06
2.72E+10        9.15E-06
2.88E+10        9.31E-06
3.03E+10        9.43E-06
3.19E+10        9.53E-06
3.35E+10        9.64E-06
3.51E+10        9.73E-06
3.67E+10        9.83E-06
3.83E+10        9.93E-06
3.99E+10        1.00E-05
4.39E+10        1.03E-05
4.79E+10        1.06E-05
5.19E+10        1.08E-05
5.59E+10        1.11E-05
5.99E+10        1.13E-05
6.39E+10        1.15E-05
6.79E+10        1.17E-05
7.19E+10        1.19E-05
7.59E+10        1.21E-05
7.99E+10        1.22E-05
8.79E+10        1.25E-05
9.58E+10        1.27E-05
1.04E+11        1.29E-05
1.12E+11        1.31E-05
1.20E+11        1.32E-05
1.28E+11        1.33E-05
1.36E+11        1.35E-05
1.44E+11        1.35E-05
1.52E+11        1.36E-05
1.60E+11        1.37E-05
1.68E+11        1.38E-05
1.76E+11        1.38E-05
1.84E+11        1.39E-05
1.92E+11        1.39E-05
2.00E+11        1.39E-05
2.08E+11        1.40E-05
2.16E+11        1.40E-05
2.24E+11        1.41E-05
2.32E+11        1.41E-05
2.40E+11        1.41E-05
2.48E+11        1.42E-05
2.56E+11        1.42E-05
2.64E+11        1.42E-05
2.72E+11        1.43E-05
2.80E+11        1.43E-05
2.88E+11        1.43E-05
2.96E+11        1.44E-05
3.03E+11        1.44E-05
3.11E+11        1.44E-05
3.19E+11        1.44E-05
3.27E+11        1.45E-05
3.35E+11        1.45E-05
3.43E+11        1.45E-05
3.51E+11        1.45E-05
3.59E+11        1.45E-05
3.67E+11        1.46E-05
3.75E+11        1.46E-05
3.83E+11        1.46E-05
3.91E+11        1.46E-05
3.99E+11        1.46E-05
